,DIVISION,TYPEHUQ,KOWNRENT,YEARMADERANGE,SQFTEST,KWH,BTUNG,TOTALBTUSPH,KWHCOL,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh,YRCONC,Source
68,3,4,2,6,1100,3311.96,57453.46,51718.5,714.23,102.1933,164.76562529696176,32.40877826628556,148.31884784521102,6.989010042732743,2,RECS
69,5,3,1,1,1550,4575.84,35900.18,24010.51,0.0,143.99965,73.0647723989607,31.776743901808096,48.86667555240585,0.0,0,RECS
70,4,5,2,3,580,4507.0,0.0,759.62,284.57,53.88374,0.0,83.64304333737783,4.131535654726268,5.281185010543068,1,RECS
71,5,5,2,8,1150,7006.92,0.0,1444.01,1148.07,106.83845,0.0,65.58425360907052,3.9610969151087465,10.745850393748693,3,RECS
72,9,2,1,3,2160,16490.73,31906.89,32905.26,661.12,200.67048,46.59870330299704,82.17815594999324,48.05678171228774,3.2945553327026476,1,RECS
73,5,2,1,5,1600,15916.95,0.0,2251.82,7823.0,148.6448,0.0,107.08043604619873,4.439732430734208,52.628817153375024,2,RECS
74,4,2,1,2,2760,18144.38,168618.45,138326.64,5521.14,256.41228,192.72547227437784,70.7625235421642,158.10290642647848,21.532276067277277,0,RECS
75,2,5,2,5,900,2176.19,26879.11,17971.18,425.05,83.6127,94.2140087188908,26.027026994702958,62.990809934136806,5.083557880561207,2,RECS
76,5,4,2,7,1800,9729.96,0.0,3096.35,2193.68,167.2254,0.0,58.18470160633491,5.4265105112620455,13.118102871932134,3,RECS
77,8,5,2,4,900,4721.91,44361.77,18025.82,472.83,83.6127,155.49250646935215,56.473597910365285,63.18232867997326,5.655002170722868,1,RECS
78,1,3,1,4,1880,7283.7,38570.66,38856.34,892.49,174.65764,64.72056931984197,41.70272769058371,65.19993296680295,5.109939651079678,1,RECS
79,7,2,1,4,1500,3575.66,24455.74,17117.28,363.94,139.3545,51.43191054138906,25.658733661273946,35.9986822591305,2.6116128291515524,1,RECS
80,4,5,2,4,760,6160.09,0.0,8901.0,127.55,70.60628,0.0,87.24563877320828,36.94607577399631,1.8064965326030489,1,RECS
81,1,1,1,4,920,4773.89,0.0,54429.95,354.13,85.47076,0.0,55.854072199662205,186.63505363062174,4.143288301168727,1,RECS
82,6,2,1,2,2200,13624.39,38592.62,37459.65,763.33,204.3866,55.338156885138275,66.65989844735418,53.713585358091,3.7347360345541247,0,RECS
83,3,2,2,2,670,12056.92,46861.14,37703.04,1446.47,62.24501,220.63842805937375,193.70098904313775,177.5189310089275,23.238328662811686,0,RECS
84,3,2,1,6,1700,6398.78,88732.11,81842.02,964.81,157.9351,164.65502734863878,40.51524961835589,151.86948717175602,6.1089016944301795,2,RECS
85,9,2,1,6,2100,15883.07,27285.77,4925.08,3249.56,195.09629999999999,40.98831141169772,81.41143630094471,7.398387979064699,16.65618466367635,2,RECS
86,6,1,1,6,1960,17645.39,0.0,15991.19,2540.66,182.08988,0.0,96.90483622703249,25.73758653962538,13.952779803029141,2,RECS
87,3,2,1,2,1850,6204.94,0.0,167231.84,515.96,171.87055,0.0,36.10240381496423,285.16114355042214,3.0020268161124752,0,RECS
88,1,2,2,1,1200,6267.44,0.0,47888.34,1108.87,111.4836,0.0,56.218493123652266,125.89011919367513,9.946485402337204,0,RECS
89,6,2,1,1,900,12590.62,0.0,26927.69,582.52,83.6127,0.0,150.58262680190927,94.38428654965095,6.966884217349756,0,RECS
