,DIVISION,YRCONC,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh
442,3,2,7989.658,194.95264486539975,223.58341245645306,192.53494404754247,7.296826556906441
443,8,2,6038.695,62.555109640576326,70.12723775583963,58.890056880335905,1.1771478945368166
444,2,0,29264.445,65.29392199711972,38.39450910481986,52.487983602251816,6.649287701543631
448,8,3,1950.963,107.56375359655719,21.030639740476882,98.91506586952188,3.1808796091981244
450,4,3,9104.494,337.311278771231,252.39206044838954,289.84037656260745,11.609604334079412
452,2,1,6224.501,109.98440359572598,190.1185331964763,92.96566577417211,56.01113480325572
453,9,2,32051.535,275.49903924875986,67.57804267408721,11.10748072355973,18.476030056594798
455,5,3,269.4187,332.68211576627755,435.2518960265193,329.6722005042709,181.42272400171186
457,3,3,6224.501,215.0770247632702,50.65064653375427,182.20962000953975,13.840086829128955
459,9,2,5202.568,1.8280293541574084,38.34644736983736,0.06804904193467534,3.997937545650533
460,5,1,38554.745,21.058098272806628,170.51252705730514,14.214907873777923,14.017863736616597
462,8,2,873.2882,233.4266715512703,465.3148868838489,99.48138053737587,11.748839202224422
463,3,1,19974.145,165.21732009430193,122.37960623596153,153.5772301607403,14.931839978832636
464,9,1,5295.471,85.9032857772236,183.06360284099375,56.93993108110687,0.0
465,9,2,1021.933,16.439722638372576,103.58604722618801,12.971106060769152,13.822272162656457
467,8,2,45057.955,8.782642485217096,121.23912414578069,27.02491576754871,3.40436993960334
470,6,0,929.03,39.561099176560504,34.567236795367215,41.17782724239261,1.859000681355823
471,7,2,7710.949,30.35560634910178,105.22518045444212,23.699380597770784,13.361214643619094
472,3,1,1207.739,114.35709095508219,521.4379928113607,114.35709095508219,0.0
473,3,2,2787.09,50.20416461937002,14.180740485596086,14.976422424464227,1.9077916942043496
474,5,3,20903.175,7.897905000795335,189.76232079576428,0.8542352962169624,49.94562132269381
475,4,2,26477.355,20.470419975484713,238.9266223910961,81.36692807514194,9.866001043873153
478,3,3,16350.928,160.25044436156776,342.1834528290994,45.747238470868446,15.452353470273982
479,3,1,2787.09,273.6723662709134,183.8731436731501,244.99565877528178,13.24528784574592
480,2,2,11148.36,330.7116365404418,457.9069028987223,139.84555812837044,7.266338287425237
482,4,0,1161.2875,64.44552519854042,41.90090739803882,64.44552519854042,2.683421584233018
485,7,0,464.515,33.18062271616633,24.877560466292802,33.18062271616633,13.28398416628096
486,9,1,5109.665,12.507782626062571,43.63515024957605,0.0,4.225259651464431
487,8,2,111.4836,173.39211344090074,104.5804046514465,150.18746525049426,37.786746696375076
489,2,0,13192.226,90.30248774043137,42.70431692119283,90.30248774043137,6.217899485727428
490,3,2,15050.286,228.14668650489435,182.47865854509342,148.9501449490063,15.923091920645229
492,6,0,1927.73725,99.60527163388062,111.4441296395554,126.96067157544424,34.57599348718297
493,5,1,19509.63,223.4553880019252,308.43557771213494,221.8898544471115,27.452635921439825
494,3,0,18580.6,56.60267482697007,36.45786465453215,54.90897473224762,1.2606377944738063
497,2,2,23690.265,68.35091423569978,23.70691083447146,68.53150531216093,7.152361664928613
498,7,1,139.3545,274.93315127965013,579.0125184332045,95.86172188196291,93.87012321094763
499,7,3,34838.625,111.32615958795733,128.8979975530033,95.54176219684331,39.02121820714796
500,4,0,418.0635,87.05340181814488,18.934922565591112,87.05340181814488,4.513168688488711
501,9,3,10219.33,79.15067570956218,64.10831238447139,1.4140312326737665,12.09266708277353
502,6,1,278.709,210.7424750008073,159.35617436107194,188.5425641547277,55.32522306061161
503,1,1,12634.807999999999,364.2729101865261,415.51703832776883,348.3789423947717,23.348011996225036
504,6,2,28335.415,249.11158339350246,572.104767126227,207.6839900882694,47.59119936764646
506,4,3,6224.501,95.2863150034035,265.54626627901575,142.7890931901208,23.342045553370465
507,3,2,418.0635,150.23215529459043,249.16310560477058,119.1713478622267,15.638360842312235
